Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Sensor Type","Voltage - Supply","Coverage","Output Type","Mounting Type","Color","Operating Temperature","Manual Override"
https://hubbellcdn.com/specsheet/MWM.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/MFG_N134191.jpg,1121-1649-ND,N134191,Thomas Research Products,MWM - MICROWAVE MODULE,46,0,"31.90000","0","1","MWM","Active","Microwave","120 ~ 277 VAC","5000 Cubic Feet","Relay","Chassis Mount","-","-40°C ~ 60°C","No"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADS-018-Motion-Detection-Sensor-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNS2-9-W1-MS-IR.jpg,1859-1062-ND,MNS2-9-W1-MS-IR,Monnit Corporation,ALTA WIRELESS INFRARED MOTION SE,13,0,"94.50000","0","1","ALTA","Active","Passive Infrared","2V ~ 3.8V","1000 Square Feet","RF","Chassis Mount","Black","-40°C ~ 85°C","No"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADS-018-Motion-Detection-Sensor-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNS2-9-W2-MS-IR.jpg,1859-1063-ND,MNS2-9-W2-MS-IR,Monnit Corporation,ALTA WIRELESS INFRARED MOTION SE,15,0,"120.75000","0","1","ALTA","Active","Passive Infrared","2V ~ 3.8V","1000 Square Feet","RF","Chassis Mount","Black","-40°C ~ 85°C","No"
https://hubbellcdn.com/specsheet/2101A_HBA_Wasp2_Cutsheet.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/WSPSMUNV.jpg,1121-1289-ND,WSPSMUNV,Thomas Research Products,SENSOR WITH DAYLIGHTING SURFACE,3,0,"67.20000","0","1","WASP2™","Obsolete","Passive Infrared","120/277/347VAC","1800 Square Feet","Relay","Ceiling","White","0°C ~ 65°C","No"
https://hubbellcdn.com/specsheet/1108a_iwszp3p_cutsheet.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/IWSZP3PI.jpg,1121-1252-ND,IWSZP3PI,Thomas Research Products,PASSIVE INFRARED WALL SWITCH SEN,0,0,"Obsolete","0","50","-","Obsolete","Passive Infrared","120/277VAC","900 Square Feet","Relay","Wall Mount","Ivory","0°C ~ 50°C","Yes"
https://hubbellcdn.com/specsheet/1108a_iwszp3p_cutsheet.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/IWSZP3PW.jpg,1121-1291-ND,IWSZP3PW,Thomas Research Products,PASSIVE INFRARED WALL SWITCH SEN,0,0,"Obsolete","0","50","-","Obsolete","Passive Infrared","120/277VAC","900 Square Feet","Relay","Wall Mount","White","0°C ~ 50°C","Yes"
https://hubbellcdn.com/installationmanuals/1113B_LightHAWK2_Install.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LHIRS1-G-IV.jpg,1121-1254-ND,LHIRS1-G-IV,Thomas Research Products,PASSIVE INFRARED WALL SWITCH SEN,0,0,"Obsolete","0","50","LightHAWK2™","Obsolete","Passive Infrared","120/277VAC","1000 Square Feet","Relay","Wall Mount","Ivory","0°C ~ 40°C","Yes"
https://hubbellcdn.com/installationmanuals/1113B_LightHAWK2_Install.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LHIRS1-G-WH.jpg,1121-1255-ND,LHIRS1-G-WH,Thomas Research Products,PASSIVE INFRARED WALL SWITCH SEN,0,0,"Obsolete","0","50","LightHAWK2™","Obsolete","Passive Infrared","120/277VAC","1000 Square Feet","Relay","Wall Mount","White","0°C ~ 40°C","Yes"
https://hubbellcdn.com/installationmanuals/1113B_LightHAWK2_Install.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LHIRD2-G-WH.jpg,1121-1256-ND,LHIRD2-G-WH,Thomas Research Products,PASSIVE INFRARED WALL SWITCH SEN,0,0,"Obsolete","0","50","LightHAWK2™","Obsolete","Passive Infrared","120/277VAC","1000 Square Feet","Relay","Wall Mount","White","0°C ~ 40°C","Yes"
-,//media.digikey.com/Photos/Thomas%20Research%20Products/LHMTS1-G-GY.jpg,1121-1257-ND,LHMTS1-G-GY,Thomas Research Products,PASSIVE INFRARED WALL SWITCH SEN,0,0,"Obsolete","0","50","LightHAWK2™","Obsolete","Passive Infrared, Ultrasonic","120/277VAC","1000 Square Feet","Relay","Wall Mount","Gray","0°C ~ 40°C","Yes"
